enquadramento;ano;quantidade
Divulgação de evento;2019;5
Divulgação de evento;2018;4
Divulgação de evento;2017;2
Divulgação de evento;2016;1
Impacto e dano;2019;1
Impacto e dano;2018;3
Impacto e dano;2016;1
Ação Política;2018;1
Ação Política;2017;1
Ação Política;2016;1
Ação Política;2015;1
Resultado Ciêntífico;2019;2
Resultado Ciêntífico;2018;2
Resultado Ciêntífico;2016;2
Resultado Ciêntífico;2015;1
Sem relação;2018;1
Sem relação;2017;1
Sem relação;2016;1
