risco;indice;Frequência
Esgoto;0.626;64.5
Lixo;0.204;32.3
Crescimento urbano;0.156;29
Circulação de embarcação;0.153;29
Atividade portuária;0.177;25.8
Mudanças climáticas;0.108;16.1
Pesca predatória;0.108;12.9
Turismo;0.048;12.9
Atividade petrolífera;0.094;12.9
